ts,user,event,score
2025-07-23T18:06:00,u0666,click,16
2025-07-24T19:07:00,u0667,click,23
2025-07-25T20:08:00,u0668,click,30
2025-07-26T21:09:00,u0669,click,37
2025-07-27T22:10:00,u0670,click,44
2025-07-28T23:11:00,u0671,click,51
2025-07-01T00:12:00,u0672,click,58
2025-07-02T01:13:00,u0673,click,65
2025-07-03T02:14:00,u0674,click,72
2025-07-04T03:15:00,u0675,click,79
2025-07-05T04:16:00,u0676,click,86
2025-07-06T05:17:00,u0677,click,93
2025-07-07T06:18:00,u0678,click,100
2025-07-08T07:19:00,u0679,click,6
2025-07-09T08:20:00,u0680,click,13
2025-07-10T09:21:00,u0681,click,20
2025-07-11T10:22:00,u0682,click,27
2025-07-12T11:23:00,u0683,click,34
2025-07-13T12:24:00,u0684,click,41
2025-07-14T13:25:00,u0685,click,48
2025-07-15T14:26:00,u0686,click,55
2025-07-16T15:27:00,u0687,click,62
2025-07-17T16:28:00,u0688,click,69
2025-07-18T17:29:00,u0689,click,76
2025-07-19T18:30:00,u0690,click,83
2025-07-20T19:31:00,u0691,click,90
2025-07-21T20:32:00,u0692,click,97
2025-07-22T21:33:00,u0693,click,3
2025-07-23T22:34:00,u0694,click,10
2025-07-24T23:35:00,u0695,click,17
2025-07-25T00:36:00,u0696,click,24
2025-07-26T01:37:00,u0697,click,31
2025-07-27T02:38:00,u0698,click,38
2025-07-28T03:39:00,u0699,click,45
2025-07-01T04:40:00,u0700,click,52
2025-07-02T05:41:00,u0701,click,59
2025-07-03T06:42:00,u0702,click,66
2025-07-04T07:43:00,u0703,click,73
2025-07-05T08:44:00,u0704,click,80
2025-07-06T09:45:00,u0705,click,87
2025-07-07T10:46:00,u0706,click,94
2025-07-08T11:47:00,u0707,click,0
2025-07-09T12:48:00,u0708,click,7
2025-07-10T13:49:00,u0709,click,14
2025-07-11T14:50:00,u0710,click,21
2025-07-12T15:51:00,u0711,click,28
2025-07-13T16:52:00,u0712,click,35
2025-07-14T17:53:00,u0713,click,42
2025-07-15T18:54:00,u0714,click,49
2025-07-16T19:55:00,u0715,click,56
2025-07-17T20:56:00,u0716,click,63
2025-07-18T21:57:00,u0717,click,70
2025-07-19T22:58:00,u0718,click,77
2025-07-20T23:59:00,u0719,click,84
2025-07-21T00:00:00,u0720,click,91
2025-07-22T01:01:00,u0721,click,98
2025-07-23T02:02:00,u0722,click,4
2025-07-24T03:03:00,u0723,click,11
2025-07-25T04:04:00,u0724,click,18
2025-07-26T05:05:00,u0725,click,25
2025-07-27T06:06:00,u0726,click,32
2025-07-28T07:07:00,u0727,click,39
2025-07-01T08:08:00,u0728,click,46
2025-07-02T09:09:00,u0729,click,53
2025-07-03T10:10:00,u0730,click,60
2025-07-04T11:11:00,u0731,click,67
2025-07-05T12:12:00,u0732,click,74
2025-07-06T13:13:00,u0733,click,81
2025-07-07T14:14:00,u0734,click,88
2025-07-08T15:15:00,u0735,click,95
2025-07-09T16:16:00,u0736,click,1
2025-07-10T17:17:00,u0737,click,8
2025-07-11T18:18:00,u0738,click,15
2025-07-12T19:19:00,u0739,click,22
2025-07-13T20:20:00,u0740,click,29
2025-07-14T21:21:00,u0741,click,36
2025-07-15T22:22:00,u0742,click,43
2025-07-16T23:23:00,u0743,click,50
2025-07-17T00:24:00,u0744,click,57
2025-07-18T01:25:00,u0745,click,64
2025-07-19T02:26:00,u0746,click,71
2025-07-20T03:27:00,u0747,click,78
2025-07-21T04:28:00,u0748,click,85
2025-07-22T05:29:00,u0749,click,92
2025-07-23T06:30:00,u0750,click,99
2025-07-24T07:31:00,u0751,click,5
2025-07-25T08:32:00,u0752,click,12
2025-07-26T09:33:00,u0753,click,19
2025-07-27T10:34:00,u0754,click,26
2025-07-28T11:35:00,u0755,click,33
2025-07-01T12:36:00,u0756,click,40
2025-07-02T13:37:00,u0757,click,47
2025-07-03T14:38:00,u0758,click,54
2025-07-04T15:39:00,u0759,click,61
2025-07-05T16:40:00,u0760,click,68
2025-07-06T17:41:00,u0761,click,75
2025-07-07T18:42:00,u0762,click,82
2025-07-08T19:43:00,u0763,click,89
2025-07-09T20:44:00,u0764,click,96
2025-07-10T21:45:00,u0765,click,2
2025-07-11T22:46:00,u0766,click,9
2025-07-12T23:47:00,u0767,click,16
2025-07-13T00:48:00,u0768,click,23
2025-07-14T01:49:00,u0769,click,30
2025-07-15T02:50:00,u0770,click,37
2025-07-16T03:51:00,u0771,click,44
2025-07-17T04:52:00,u0772,click,51
2025-07-18T05:53:00,u0773,click,58
2025-07-19T06:54:00,u0774,click,65
2025-07-20T07:55:00,u0775,click,72
2025-07-21T08:56:00,u0776,click,79
2025-07-22T09:57:00,u0777,click,86
2025-07-23T10:58:00,u0778,click,93
2025-07-24T11:59:00,u0779,click,100
2025-07-25T12:00:00,u0780,click,6
2025-07-26T13:01:00,u0781,click,13
2025-07-27T14:02:00,u0782,click,20
2025-07-28T15:03:00,u0783,click,27
2025-07-01T16:04:00,u0784,click,34
2025-07-02T17:05:00,u0785,click,41
2025-07-03T18:06:00,u0786,click,48
2025-07-04T19:07:00,u0787,click,55
2025-07-05T20:08:00,u0788,click,62
2025-07-06T21:09:00,u0789,click,69
2025-07-07T22:10:00,u0790,click,76
2025-07-08T23:11:00,u0791,click,83
2025-07-09T00:12:00,u0792,click,90
2025-07-10T01:13:00,u0793,click,97
2025-07-11T02:14:00,u0794,click,3
2025-07-12T03:15:00,u0795,click,10
2025-07-13T04:16:00,u0796,click,17
2025-07-14T05:17:00,u0797,click,24
2025-07-15T06:18:00,u0798,click,31
2025-07-16T07:19:00,u0799,click,38
2025-07-17T08:20:00,u0800,click,45
2025-07-18T09:21:00,u0801,click,52
2025-07-19T10:22:00,u0802,click,59
2025-07-20T11:23:00,u0803,click,66
2025-07-21T12:24:00,u0804,click,73
2025-07-22T13:25:00,u0805,click,80
2025-07-23T14:26:00,u0806,click,87
2025-07-24T15:27:00,u0807,click,94
2025-07-25T16:28:00,u0808,click,0
2025-07-26T17:29:00,u0809,click,7
2025-07-27T18:30:00,u0810,click,14
2025-07-28T19:31:00,u0811,click,21
2025-07-01T20:32:00,u0812,click,28
2025-07-02T21:33:00,u0813,click,35
2025-07-03T22:34:00,u0814,click,42
2025-07-04T23:35:00,u0815,click,49
2025-07-05T00:36:00,u0816,click,56
2025-07-06T01:37:00,u0817,click,63
2025-07-07T02:38:00,u0818,click,70
2025-07-08T03:39:00,u0819,click,77
2025-07-09T04:40:00,u0820,click,84
2025-07-10T05:41:00,u0821,click,91
2025-07-11T06:42:00,u0822,click,98
2025-07-12T07:43:00,u0823,click,4
2025-07-13T08:44:00,u0824,click,11
2025-07-14T09:45:00,u0825,click,18
2025-07-15T10:46:00,u0826,click,25
2025-07-16T11:47:00,u0827,click,32
2025-07-17T12:48:00,u0828,click,39
2025-07-18T13:49:00,u0829,click,46
2025-07-19T14:50:00,u0830,click,53
2025-07-20T15:51:00,u0831,click,60
2025-07-21T16:52:00,u0832,click,67
2025-07-22T17:53:00,u0833,click,74
2025-07-23T18:54:00,u0834,click,81
2025-07-24T19:55:00,u0835,click,88
2025-07-25T20:56:00,u0836,click,95
2025-07-26T21:57:00,u0837,click,1
2025-07-27T22:58:00,u0838,click,8
2025-07-28T23:59:00,u0839,click,15
2025-07-01T00:00:00,u0840,click,22
2025-07-02T01:01:00,u0841,click,29
2025-07-03T02:02:00,u0842,click,36
2025-07-04T03:03:00,u0843,click,43
2025-07-05T04:04:00,u0844,click,50
2025-07-06T05:05:00,u0845,click,57
2025-07-07T06:06:00,u0846,click,64
2025-07-08T07:07:00,u0847,click,71
2025-07-09T08:08:00,u0848,click,78
2025-07-10T09:09:00,u0849,click,85
2025-07-11T10:10:00,u0850,click,92
2025-07-12T11:11:00,u0851,click,99
2025-07-13T12:12:00,u0852,click,5
2025-07-14T13:13:00,u0853,click,12
2025-07-15T14:14:00,u0854,click,19
2025-07-16T15:15:00,u0855,click,26
2025-07-17T16:16:00,u0856,click,33
2025-07-18T17:17:00,u0857,click,40
2025-07-19T18:18:00,u0858,click,47
2025-07-20T19:19:00,u0859,click,54
2025-07-21T20:20:00,u0860,click,61
2025-07-22T21:21:00,u0861,click,68
2025-07-23T22:22:00,u0862,click,75
2025-07-24T23:23:00,u0863,click,82
2025-07-25T00:24:00,u0864,click,89
2025-07-26T01:25:00,u0865,click,96
2025-07-27T02:26:00,u0866,click,2
2025-07-28T03:27:00,u0867,click,9
2025-07-01T04:28:00,u0868,click,16
2025-07-02T05:29:00,u0869,click,23
2025-07-03T06:30:00,u0870,click,30
2025-07-04T07:31:00,u0871,click,37
2025-07-05T08:32:00,u0872,click,44
2025-07-06T09:33:00,u0873,click,51
2025-07-07T10:34:00,u0874,click,58
2025-07-08T11:35:00,u0875,click,65
2025-07-09T12:36:00,u0876,click,72
2025-07-10T13:37:00,u0877,click,79
2025-07-11T14:38:00,u0878,click,86
2025-07-12T15:39:00,u0879,click,93
2025-07-13T16:40:00,u0880,click,100
2025-07-14T17:41:00,u0881,click,6
2025-07-15T18:42:00,u0882,click,13
2025-07-16T19:43:00,u0883,click,20
2025-07-17T20:44:00,u0884,click,27
2025-07-18T21:45:00,u0885,click,34
2025-07-19T22:46:00,u0886,click,41
2025-07-20T23:47:00,u0887,click,48
2025-07-21T00:48:00,u0888,click,55
2025-07-22T01:49:00,u0889,click,62
2025-07-23T02:50:00,u0890,click,69
2025-07-24T03:51:00,u0891,click,76
2025-07-25T04:52:00,u0892,click,83
2025-07-26T05:53:00,u0893,click,90
2025-07-27T06:54:00,u0894,click,97
2025-07-28T07:55:00,u0895,click,3
2025-07-01T08:56:00,u0896,click,10
2025-07-02T09:57:00,u0897,click,17
2025-07-03T10:58:00,u0898,click,24
2025-07-04T11:59:00,u0899,click,31
2025-07-05T12:00:00,u0900,click,38
2025-07-06T13:01:00,u0901,click,45
2025-07-07T14:02:00,u0902,click,52
2025-07-08T15:03:00,u0903,click,59
2025-07-09T16:04:00,u0904,click,66
2025-07-10T17:05:00,u0905,click,73
2025-07-11T18:06:00,u0906,click,80
2025-07-12T19:07:00,u0907,click,87
2025-07-13T20:08:00,u0908,click,94
2025-07-14T21:09:00,u0909,click,0
2025-07-15T22:10:00,u0910,click,7
2025-07-16T23:11:00,u0911,click,14
2025-07-17T00:12:00,u0912,click,21
2025-07-18T01:13:00,u0913,click,28
2025-07-19T02:14:00,u0914,click,35
2025-07-20T03:15:00,u0915,click,42
2025-07-21T04:16:00,u0916,click,49
2025-07-22T05:17:00,u0917,click,56
2025-07-23T06:18:00,u0918,click,63
2025-07-24T07:19:00,u0919,click,70
2025-07-25T08:20:00,u0920,click,77
2025-07-26T09:21:00,u0921,click,84
2025-07-27T10:22:00,u0922,click,91
2025-07-28T11:23:00,u0923,click,98
2025-07-01T12:24:00,u0924,click,4
2025-07-02T13:25:00,u0925,click,11
2025-07-03T14:26:00,u0926,click,18
2025-07-04T15:27:00,u0927,click,25
2025-07-05T16:28:00,u0928,click,32
2025-07-06T17:29:00,u0929,click,39
2025-07-07T18:30:00,u0930,click,46
2025-07-08T19:31:00,u0931,click,53
2025-07-09T20:32:00,u0932,click,60
2025-07-10T21:33:00,u0933,click,67
2025-07-11T22:34:00,u0934,click,74
2025-07-12T23:35:00,u0935,click,81
2025-07-13T00:36:00,u0936,click,88
2025-07-14T01:37:00,u0937,click,95
2025-07-15T02:38:00,u0938,click,1
2025-07-16T03:39:00,u0939,click,8
2025-07-17T04:40:00,u0940,click,15
2025-07-18T05:41:00,u0941,click,22
2025-07-19T06:42:00,u0942,click,29
2025-07-20T07:43:00,u0943,click,36
2025-07-21T08:44:00,u0944,click,43
2025-07-22T09:45:00,u0945,click,50
2025-07-23T10:46:00,u0946,click,57
2025-07-24T11:47:00,u0947,click,64
2025-07-25T12:48:00,u0948,click,71
2025-07-26T13:49:00,u0949,click,78
2025-07-27T14:50:00,u0950,click,85
2025-07-28T15:51:00,u0951,click,92
2025-07-01T16:52:00,u0952,click,99
2025-07-02T17:53:00,u0953,click,5
2025-07-03T18:54:00,u0954,click,12
2025-07-04T19:55:00,u0955,click,19
2025-07-05T20:56:00,u0956,click,26
2025-07-06T21:57:00,u0957,click,33
2025-07-07T22:58:00,u0958,click,40
2025-07-08T23:59:00,u0959,click,47
2025-07-09T00:00:00,u0960,click,54
2025-07-10T01:01:00,u0961,click,61
2025-07-11T02:02:00,u0962,click,68
2025-07-12T03:03:00,u0963,click,75
2025-07-13T04:04:00,u0964,click,82
2025-07-14T05:05:00,u0965,click,89
2025-07-15T06:06:00,u0966,click,96
2025-07-16T07:07:00,u0967,click,2
2025-07-17T08:08:00,u0968,click,9
2025-07-18T09:09:00,u0969,click,16
2025-07-19T10:10:00,u0970,click,23
2025-07-20T11:11:00,u0971,click,30
2025-07-21T12:12:00,u0972,click,37
2025-07-22T13:13:00,u0973,click,44
2025-07-23T14:14:00,u0974,click,51
2025-07-24T15:15:00,u0975,click,58
2025-07-25T16:16:00,u0976,click,65
2025-07-26T17:17:00,u0977,click,72
2025-07-27T18:18:00,u0978,click,79
2025-07-28T19:19:00,u0979,click,86
2025-07-01T20:20:00,u0980,click,93
2025-07-02T21:21:00,u0981,click,100
2025-07-03T22:22:00,u0982,click,6
2025-07-04T23:23:00,u0983,click,13
2025-07-05T00:24:00,u0984,click,20
2025-07-06T01:25:00,u0985,click,27
2025-07-07T02:26:00,u0986,click,34
2025-07-08T03:27:00,u0987,click,41
2025-07-09T04:28:00,u0988,click,48
2025-07-10T05:29:00,u0989,click,55
2025-07-11T06:30:00,u0990,click,62
2025-07-12T07:31:00,u0991,click,69
2025-07-13T08:32:00,u0992,click,76
2025-07-14T09:33:00,u0993,click,83
2025-07-15T10:34:00,u0994,click,90
2025-07-16T11:35:00,u0995,click,97
2025-07-17T12:36:00,u0996,click,3
2025-07-18T13:37:00,u0997,click,10
2025-07-19T14:38:00,u0998,click,17
2025-07-20T15:39:00,u0999,click,24
2025-07-21T16:40:00,u1000,click,31
2025-07-22T17:41:00,u1001,click,38
2025-07-23T18:42:00,u1002,click,45
2025-07-24T19:43:00,u1003,click,52
2025-07-25T20:44:00,u1004,click,59
2025-07-26T21:45:00,u1005,click,66
2025-07-27T22:46:00,u1006,click,73
2025-07-28T23:47:00,u1007,click,80
2025-07-01T00:48:00,u1008,click,87
2025-07-02T01:49:00,u1009,click,94
2025-07-03T02:50:00,u1010,click,0
2025-07-04T03:51:00,u1011,click,7
2025-07-05T04:52:00,u1012,click,14
2025-07-06T05:53:00,u1013,click,21
2025-07-07T06:54:00,u1014,click,28
2025-07-08T07:55:00,u1015,click,35
2025-07-09T08:56:00,u1016,click,42
2025-07-10T09:57:00,u1017,click,49
2025-07-11T10:58:00,u1018,click,56
2025-07-12T11:59:00,u1019,click,63
2025-07-13T12:00:00,u1020,click,70
2025-07-14T13:01:00,u1021,click,77
2025-07-15T14:02:00,u1022,click,84
2025-07-16T15:03:00,u1023,click,91
2025-07-17T16:04:00,u1024,click,98
2025-07-18T17:05:00,u1025,click,4
2025-07-19T18:06:00,u1026,click,11
2025-07-20T19:07:00,u1027,click,18
2025-07-21T20:08:00,u1028,click,25
2025-07-22T21:09:00,u1029,click,32
2025-07-23T22:10:00,u1030,click,39
2025-07-24T23:11:00,u1031,click,46
2025-07-25T00:12:00,u1032,click,53
2025-07-26T01:13:00,u1033,click,60
2025-07-27T02:14:00,u1034,click,67
2025-07-28T03:15:00,u1035,click,74
2025-07-01T04:16:00,u1036,click,81
2025-07-02T05:17:00,u1037,click,88
2025-07-03T06:18:00,u1038,click,95
2025-07-04T07:19:00,u1039,click,1
2025-07-05T08:20:00,u1040,click,8
2025-07-06T09:21:00,u1041,click,15
2025-07-07T10:22:00,u1042,click,22
2025-07-08T11:23:00,u1043,click,29
2025-07-09T12:24:00,u1044,click,36
2025-07-10T13:25:00,u1045,click,43
2025-07-11T14:26:00,u1046,click,50
2025-07-12T15:27:00,u1047,click,57
2025-07-13T16:28:00,u1048,click,64
2025-07-14T17:29:00,u1049,click,71
2025-07-15T18:30:00,u1050,click,78
2025-07-16T19:31:00,u1051,click,85
2025-07-17T20:32:00,u1052,click,92
2025-07-18T21:33:00,u1053,click,99
2025-07-19T22:34:00,u1054,click,5
2025-07-20T23:35:00,u1055,click,12
2025-07-21T00:36:00,u1056,click,19
2025-07-22T01:37:00,u1057,click,26
2025-07-23T02:38:00,u1058,click,33
2025-07-24T03:39:00,u1059,click,40
2025-07-25T04:40:00,u1060,click,47
2025-07-26T05:41:00,u1061,click,54
2025-07-27T06:42:00,u1062,click,61
2025-07-28T07:43:00,u1063,click,68
2025-07-01T08:44:00,u1064,click,75
2025-07-02T09:45:00,u1065,click,82
2025-07-03T10:46:00,u1066,click,89
2025-07-04T11:47:00,u1067,click,96
2025-07-05T12:48:00,u1068,click,2
2025-07-06T13:49:00,u1069,click,9
2025-07-07T14:50:00,u1070,click,16
2025-07-08T15:51:00,u1071,click,23
2025-07-09T16:52:00,u1072,click,30
2025-07-10T17:53:00,u1073,click,37
2025-07-11T18:54:00,u1074,click,44
2025-07-12T19:55:00,u1075,click,51
2025-07-13T20:56:00,u1076,click,58
2025-07-14T21:57:00,u1077,click,65
2025-07-15T22:58:00,u1078,click,72
2025-07-16T23:59:00,u1079,click,79
2025-07-17T00:00:00,u1080,click,86
2025-07-18T01:01:00,u1081,click,93
2025-07-19T02:02:00,u1082,click,100
2025-07-20T03:03:00,u1083,click,6
2025-07-21T04:04:00,u1084,click,13
2025-07-22T05:05:00,u1085,click,20
2025-07-23T06:06:00,u1086,click,27
2025-07-24T07:07:00,u1087,click,34
2025-07-25T08:08:00,u1088,click,41
2025-07-26T09:09:00,u1089,click,48
2025-07-27T10:10:00,u1090,click,55
2025-07-28T11:11:00,u1091,click,62
2025-07-01T12:12:00,u1092,click,69
2025-07-02T13:13:00,u1093,click,76
2025-07-03T14:14:00,u1094,click,83
2025-07-04T15:15:00,u1095,click,90
2025-07-05T16:16:00,u1096,click,97
2025-07-06T17:17:00,u1097,click,3
2025-07-07T18:18:00,u1098,click,10
2025-07-08T19:19:00,u1099,click,17
2025-07-09T20:20:00,u1100,click,24
2025-07-10T21:21:00,u1101,click,31
2025-07-11T22:22:00,u1102,click,38
2025-07-12T23:23:00,u1103,click,45
2025-07-13T00:24:00,u1104,click,52
2025-07-14T01:25:00,u1105,click,59
2025-07-15T02:26:00,u1106,click,66
2025-07-16T03:27:00,u1107,click,73
2025-07-17T04:28:00,u1108,click,80
2025-07-18T05:29:00,u1109,click,87
2025-07-19T06:30:00,u1110,click,94
2025-07-20T07:31:00,u1111,click,0
2025-07-21T08:32:00,u1112,click,7
2025-07-22T09:33:00,u1113,click,14
2025-07-23T10:34:00,u1114,click,21
2025-07-24T11:35:00,u1115,click,28
2025-07-25T12:36:00,u1116,click,35
2025-07-26T13:37:00,u1117,click,42
2025-07-27T14:38:00,u1118,click,49
2025-07-28T15:39:00,u1119,click,56
2025-07-01T16:40:00,u1120,click,63
2025-07-02T17:41:00,u1121,click,70
2025-07-03T18:42:00,u1122,click,77
2025-07-04T19:43:00,u1123,click,84
2025-07-05T20:44:00,u1124,click,91
2025-07-06T21:45:00,u1125,click,98
2025-07-07T22:46:00,u1126,click,4
2025-07-08T23:47:00,u1127,click,11
2025-07-09T00:48:00,u1128,click,18
2025-07-10T01:49:00,u1129,click,25
2025-07-11T02:50:00,u1130,click,32
2025-07-12T03:51:00,u1131,click,39
2025-07-13T04:52:00,u1132,click,46
2025-07-14T05:53:00,u1133,click,53
2025-07-15T06:54:00,u1134,click,60
2025-07-16T07:55:00,u1135,click,67
2025-07-17T08:56:00,u1136,click,74
2025-07-18T09:57:00,u1137,click,81
2025-07-19T10:58:00,u1138,click,88
2025-07-20T11:59:00,u1139,click,95
2025-07-21T12:00:00,u1140,click,1
2025-07-22T13:01:00,u1141,click,8
2025-07-23T14:02:00,u1142,click,15
2025-07-24T15:03:00,u1143,click,22
2025-07-25T16:04:00,u1144,click,29
2025-07-26T17:05:00,u1145,click,36
2025-07-27T18:06:00,u1146,click,43
2025-07-28T19:07:00,u1147,click,50
2025-07-01T20:08:00,u1148,click,57
2025-07-02T21:09:00,u1149,click,64
2025-07-03T22:10:00,u1150,click,71
2025-07-04T23:11:00,u1151,click,78
2025-07-05T00:12:00,u1152,click,85
2025-07-06T01:13:00,u1153,click,92
2025-07-07T02:14:00,u1154,click,99
2025-07-08T03:15:00,u1155,click,5
2025-07-09T04:16:00,u1156,click,12
2025-07-10T05:17:00,u1157,click,19
2025-07-11T06:18:00,u1158,click,26
2025-07-12T07:19:00,u1159,click,33
2025-07-13T08:20:00,u1160,click,40
2025-07-14T09:21:00,u1161,click,47
2025-07-15T10:22:00,u1162,click,54
2025-07-16T11:23:00,u1163,click,61
2025-07-17T12:24:00,u1164,click,68
2025-07-18T13:25:00,u1165,click,75
2025-07-19T14:26:00,u1166,click,82
2025-07-20T15:27:00,u1167,click,89
2025-07-21T16:28:00,u1168,click,96
2025-07-22T17:29:00,u1169,click,2
2025-07-23T18:30:00,u1170,click,9
2025-07-24T19:31:00,u1171,click,16
2025-07-25T20:32:00,u1172,click,23
2025-07-26T21:33:00,u1173,click,30
2025-07-27T22:34:00,u1174,click,37
2025-07-28T23:35:00,u1175,click,44
2025-07-01T00:36:00,u1176,click,51
2025-07-02T01:37:00,u1177,click,58
2025-07-03T02:38:00,u1178,click,65
2025-07-04T03:39:00,u1179,click,72
2025-07-05T04:40:00,u1180,click,79
2025-07-06T05:41:00,u1181,click,86
2025-07-07T06:42:00,u1182,click,93
2025-07-08T07:43:00,u1183,click,100
2025-07-09T08:44:00,u1184,click,6
2025-07-10T09:45:00,u1185,click,13
2025-07-11T10:46:00,u1186,click,20
2025-07-12T11:47:00,u1187,click,27
2025-07-13T12:48:00,u1188,click,34
2025-07-14T13:49:00,u1189,click,41
2025-07-15T14:50:00,u1190,click,48
2025-07-16T15:51:00,u1191,click,55
2025-07-17T16:52:00,u1192,click,62
2025-07-18T17:53:00,u1193,click,69
2025-07-19T18:54:00,u1194,click,76
2025-07-20T19:55:00,u1195,click,83
2025-07-21T20:56:00,u1196,click,90
2025-07-22T21:57:00,u1197,click,97
2025-07-23T22:58:00,u1198,click,3
2025-07-24T23:59:00,u1199,click,10
2025-07-25T00:00:00,u1200,click,17
2025-07-26T01:01:00,u1201,click,24
2025-07-27T02:02:00,u1202,click,31
2025-07-28T03:03:00,u1203,click,38
2025-07-01T04:04:00,u1204,click,45
2025-07-02T05:05:00,u1205,click,52
2025-07-03T06:06:00,u1206,click,59
2025-07-04T07:07:00,u1207,click,66
2025-07-05T08:08:00,u1208,click,73
2025-07-06T09:09:00,u1209,click,80
2025-07-07T10:10:00,u1210,click,87
2025-07-08T11:11:00,u1211,click,94
2025-07-09T12:12:00,u1212,click,0
2025-07-10T13:13:00,u1213,click,7
2025-07-11T14:14:00,u1214,click,14
2025-07-12T15:15:00,u1215,click,21
2025-07-13T16:16:00,u1216,click,28
2025-07-14T17:17:00,u1217,click,35
2025-07-15T18:18:00,u1218,click,42
2025-07-16T19:19:00,u1219,click,49
2025-07-17T20:20:00,u1220,click,56
2025-07-18T21:21:00,u1221,click,63
2025-07-19T22:22:00,u1222,click,70
2025-07-20T23:23:00,u1223,click,77
2025-07-21T00:24:00,u1224,click,84
2025-07-22T01:25:00,u1225,click,91
2025-07-23T02:26:00,u1226,click,98
2025-07-24T03:27:00,u1227,click,4
2025-07-25T04:28:00,u1228,click,11
2025-07-26T05:29:00,u1229,click,18
2025-07-27T06:30:00,u1230,click,25
2025-07-28T07:31:00,u1231,click,32
2025-07-01T08:32:00,u1232,click,39
2025-07-02T09:33:00,u1233,click,46
2025-07-03T10:34:00,u1234,click,53
2025-07-04T11:35:00,u1235,click,60
2025-07-05T12:36:00,u1236,click,67
2025-07-06T13:37:00,u1237,click,74
2025-07-07T14:38:00,u1238,click,81
2025-07-08T15:39:00,u1239,click,88
2025-07-09T16:40:00,u1240,click,95
2025-07-10T17:41:00,u1241,click,1
2025-07-11T18:42:00,u1242,click,8
2025-07-12T19:43:00,u1243,click,15
2025-07-13T20:44:00,u1244,click,22
2025-07-14T21:45:00,u1245,click,29
2025-07-15T22:46:00,u1246,click,36
2025-07-16T23:47:00,u1247,click,43
2025-07-17T00:48:00,u1248,click,50
2025-07-18T01:49:00,u1249,click,57
2025-07-19T02:50:00,u1250,click,64
2025-07-20T03:51:00,u1251,click,71
2025-07-21T04:52:00,u1252,click,78
2025-07-22T05:53:00,u1253,click,85
2025-07-23T06:54:00,u1254,click,92
2025-07-24T07:55:00,u1255,click,99
2025-07-25T08:56:00,u1256,click,5
2025-07-26T09:57:00,u1257,click,12
2025-07-27T10:58:00,u1258,click,19
2025-07-28T11:59:00,u1259,click,26
2025-07-01T12:00:00,u1260,click,33
2025-07-02T13:01:00,u1261,click,40
2025-07-03T14:02:00,u1262,click,47
2025-07-04T15:03:00,u1263,click,54
2025-07-05T16:04:00,u1264,click,61
2025-07-06T17:05:00,u1265,click,68
2025-07-07T18:06:00,u1266,click,75
2025-07-08T19:07:00,u1267,click,82
2025-07-09T20:08:00,u1268,click,89
2025-07-10T21:09:00,u1269,click,96
2025-07-11T22:10:00,u1270,click,2
2025-07-12T23:11:00,u1271,click,9
2025-07-13T00:12:00,u1272,click,16
2025-07-14T01:13:00,u1273,click,23
2025-07-15T02:14:00,u1274,click,30
2025-07-16T03:15:00,u1275,click,37
2025-07-17T04:16:00,u1276,click,44
2025-07-18T05:17:00,u1277,click,51
2025-07-19T06:18:00,u1278,click,58
2025-07-20T07:19:00,u1279,click,65
2025-07-21T08:20:00,u1280,click,72
2025-07-22T09:21:00,u1281,click,79
2025-07-23T10:22:00,u1282,click,86
2025-07-24T11:23:00,u1283,click,93
2025-07-25T12:24:00,u1284,click,100
2025-07-26T13:25:00,u1285,click,6
2025-07-27T14:26:00,u1286,click,13
2025-07-28T15:27:00,u1287,click,20
2025-07-01T16:28:00,u1288,click,27
2025-07-02T17:29:00,u1289,click,34
2025-07-03T18:30:00,u1290,click,41
2025-07-04T19:31:00,u1291,click,48
2025-07-05T20:32:00,u1292,click,55
2025-07-06T21:33:00,u1293,click,62
2025-07-07T22:34:00,u1294,click,69
2025-07-08T23:35:00,u1295,click,76
2025-07-09T00:36:00,u1296,click,83
2025-07-10T01:37:00,u1297,click,90
2025-07-11T02:38:00,u1298,click,97
2025-07-12T03:39:00,u1299,click,3
2025-07-13T04:40:00,u1300,click,10
2025-07-14T05:41:00,u1301,click,17
2025-07-15T06:42:00,u1302,click,24
2025-07-16T07:43:00,u1303,click,31
2025-07-17T08:44:00,u1304,click,38
2025-07-18T09:45:00,u1305,click,45
2025-07-19T10:46:00,u1306,click,52
2025-07-20T11:47:00,u1307,click,59
2025-07-21T12:48:00,u1308,click,66
2025-07-22T13:49:00,u1309,click,73
2025-07-23T14:50:00,u1310,click,80
2025-07-24T15:51:00,u1311,click,87
2025-07-25T16:52:00,u1312,click,94
2025-07-26T17:53:00,u1313,click,0
2025-07-27T18:54:00,u1314,click,7
2025-07-28T19:55:00,u1315,click,14
2025-07-01T20:56:00,u1316,click,21
2025-07-02T21:57:00,u1317,click,28
2025-07-03T22:58:00,u1318,click,35
2025-07-04T23:59:00,u1319,click,42
2025-07-05T00:00:00,u1320,click,49
2025-07-06T01:01:00,u1321,click,56
2025-07-07T02:02:00,u1322,click,63
2025-07-08T03:03:00,u1323,click,70
2025-07-09T04:04:00,u1324,click,77
2025-07-10T05:05:00,u1325,click,84
2025-07-11T06:06:00,u1326,click,91
2025-07-12T07:07:00,u1327,click,98
2025-07-13T08:08:00,u1328,click,4
2025-07-14T09:09:00,u1329,click,11
2025-07-15T10:10:00,u1330,click,18
2025-07-16T11:11:00,u1331,click,25
